btc_height,btc_hash,in_upstream,first_seen_chain
297091,00000000000000005c205efe9c6b494bef8b5aea12354332fdfe2756e684b0af,yes,namecoin
297295,00000000000000000e83c18d7d7d26761e66186c763fd908d6f70155cf32eb49,yes,namecoin
297469,00000000000000001bb1e7050f0a7c3285a13367b155792f5ded9763e7b8045a,yes,namecoin
297835,000000000000000007b28cb11b554efb34d62d51b13a1bb84a37ac1a80e5704b,yes,namecoin
297835,000000000000000053b3fce44eaa50c0dca6d6c5d2d63818e08ae72b9894a5fe,yes,namecoin
297835,000000000000000064cb2f55ea3758db22489b77997a1a198d1cc3a249820ec7,yes,namecoin
297835,0000000000000000783d0e4d291fab910e1fe95b82e6b09cbc2bb8cdcf52d110,yes,namecoin
298036,0000000000000000953037bbfd2ad63cbe1c08c957f530aea03016b695cba8a6,yes,namecoin
298392,000000000000000032d2d9009f73816c838dbc77880fc9c5efb84f2720c80050,yes,namecoin
298782,00000000000000000356d0f6bf86d75b2787b0a73d2e1b17b8a53d7bd6309fa8,yes,namecoin
299176,00000000000000001f620c64e6c9a56bcbac52bcca074a9d8b291028ee4f0c03,yes,namecoin
299266,000000000000000050d44bb0998c41f89f850efa05aca23432e3d05ab290f6a5,yes,namecoin
299334,00000000000000001f64a823735f212b3d8d09740d1a4b8b82531ac04b416f0f,yes,namecoin
299426,00000000000000002dc88dbbefaa1dd6a0f195bfd8a97bff0fe10e66d2518638,yes,namecoin
300273,00000000000000003ea00b983ae4524de9c52fdd0e9933ae75e4208073bb5c96,yes,namecoin
300860,00000000000000006e12e045b7876f64e87a4e74f6734726a96106dfec685fad,no,
